Player HP,enemyCount,closestWallDistanceAvg,closestEnemyDistanceAvg,hitRate,hitRange,oneKillPerShot,moveShotRate,currentStage,WeaponType,StageTime,CommonEnemy0.8,CommonEnemy0.5,CommonEnemy0.2,Center Field0.8,Center Field0.5,Center Fieldt0.2,output(difficulty),10
100,2,24.87258,8.588998,50,4.514418,3,75,1,0, ,1,0,0,1,0,0,10,493.7231
100,5,18.70252,8.88229,23.52941,4.545966,6,76.47059,1,0, ,1,0,0,1,0,0,10,493.7231
100,7,17.45875,9.522713,20,6.049314,8.5,90,1,0, ,1,0,0,1,0,0,10,493.7231
100,6,16.73971,8.689235,23.37662,5.466467,7.888889,94.80519,1,0, ,1,0,0,1,0,0,10,493.7231
100,7,16.13772,8.556255,25.26316,5.162099,7.5,95.78947,1,0, ,1,0,0,1,0,0,10,493.7231
100,9,16.56909,8.199226,24.77876,5.105448,7.857143,96.46017,1,0, ,1,0,0,1,0,0,10,493.7231
100,11,9.729818,0,24.46043,5.733294,7.6875,97.1223,2,0, ,1,0,0,1,0,0,10,493.7231
100,14,9.183919,1.013156,26.49006,6.707793,7.736842,95.36423,2,0, ,1,0,0,1,0,0,10,493.7231
100,12,7.488285,4.029031,28.125,6.232908,7,96.35417,2,0, ,1,0,0,1,0,0,10,493.7231
100,13,7.591079,4.632182,29.61373,6.993698,7.09375,96.56652,2,0, ,1,0,0,1,0,0,10,493.7231
100,14,7.498262,4.849783,31.12033,7.01405,6.513514,96.6805,2,1, ,1,0,0,1,0,0,10,493.7231
100,13,7.552188,4.991436,31.68724,6.911864,5.522727,96.70782,2,1, ,1,0,0,1,0,0,10,493.7231
100,15,8.825877,5.570836,32.52032,6.765162,5.125,96.74796,2,1, ,1,0,0,1,0,0,10,493.7231
100,16,9.51951,5.544076,33.06452,6.689896,4.679245,96.77419,2,1, ,1,0,0,1,0,0,10,493.7231
100,17,12.92121,0,33.46614,6.590852,4.310345,96.81275,3,1, ,1,0,0,1,0,0,10,493.7231
100,18,17.88719,1.90543,33.99209,6.52278,4.015873,96.83794,3,1, ,1,0,0,1,0,0,10,493.7231
100,15,18.61604,1.311489,34.76563,6.396012,3.506849,96.875,3,1, ,1,0,0,1,0,0,10,493.7231
100,13,16.44646,0.8895865,35.27132,6.335339,3.146342,96.89922,3,1, ,1,0,0,1,0,0,10,493.7231
100,19,16.76267,0.9458368,35.63218,6.277029,3.095238,96.93487,3,1, ,1,0,0,1,0,0,10,493.7231
100,19,16.56472,2.195514,36.5019,6.186594,2.89011,96.95818,3,1, ,1,0,0,1,0,0,10,493.7231
100,17,16.4927,2.367658,37.21805,6.087387,2.66,96.99248,3,1, ,1,0,0,1,0,0,10,493.7231
100,15,16.83134,2.10026,37.68657,6.016704,2.458716,97.01493,3,1, ,1,0,0,1,0,0,10,493.7231
100,16,16.49622,1.84117,38.00738,5.96907,2.347826,97.04797,3,1, ,1,0,0,1,0,0,10,493.7231
100,13,15.8166,1.777896,38.46154,5.897644,2.166667,97.0696,3,1, ,1,0,0,1,0,0,10,493.7231
100,15,16.17768,1.602005,39.13044,5.815367,2.10687,97.10145,3,1, ,1,0,0,1,0,0,10,493.7231
100,17,20.83391,0.9427262,39.56835,5.754334,2.059259,97.1223,4,1, ,1,0,0,1,0,0,10,493.7231
